 1  1 3.92030464E-01 3.15574618E-01-1.26870554E-02 3.92030452E-01 3.15574608E-01
 1  2 1.26870547E-02 7.85656226E-02 3.35339951E-02-1.77051490E-10
 2  1 4.27204517E-01 3.72380922E-01-2.41123865E-02-4.27204528E-01-3.72380931E-01
 2  2-2.41123869E-02-1.09100328E-09-4.66137624E-10-1.27484611E-02
 3  1-2.05622962E-01-7.36126491E-01 5.32948183E-02-2.05622961E-01-7.36126491E-01
 3  2-5.32948182E-02 2.43182041E-01 1.56743034E+00-5.09022309E-11
 4  1-3.69577328E-02 6.98407664E-02 1.84897078E-01-3.69577331E-02 6.98407671E-02
 4  2-1.84897078E-01 1.14962292E+00-1.05856099E+00-3.26509466E-10
 5  1-6.64711773E-01 1.07278080E+00 6.22276170E-02 6.64711772E-01-1.07278080E+00
 5  2 6.22276169E-02 3.79074878E-10-5.91563043E-10 5.74331836E-01
 6  1 8.73115377E-01-1.50550275E+00 3.90042128E-02 8.73115377E-01-1.50550275E+00
 6  2-3.90042128E-02 1.00086277E-01 1.27393893E+00 1.49010873E-10
 7  1-3.78847025E-01 2.17893609E-01 4.63119825E-01 3.78847025E-01-2.17893609E-01
 7  2 4.63119825E-01-1.79434048E-10 1.50717082E-10-4.52879137E-01
 8  1 1.05764387E-01-6.65340421E-01-8.17069438E-01 1.05764387E-01-6.65340421E-01
 8  2 8.17069438E-01 1.13990778E+00 2.02212005E-01-3.21929975E-11
 9  1 4.99570114E-01 5.66800668E-01 1.04180097E+00-4.99570114E-01-5.66800668E-01
 9  2 1.04180097E+00 5.62549338E-11-2.09458922E-11 1.96517738E+00
