 1  1 1.64434908E-01 5.90661608E-02-4.20690251E-02-3.32826794E-02-1.10903439E-02
 1  2-3.36045545E-03-6.13892524E-04-1.84102055E-04 1.38919332E-01 7.99665238E-01
 2  1 7.72540475E-02-1.55859432E-01 7.24893857E-02 3.76214141E-02 1.50322444E-02
 2  2 4.00759567E-03 8.23929755E-04 2.23947662E-04-1.44824803E+00 1.28969805E+00
 3  1 1.63754428E+00 1.69851481E-02-6.28731217E-02-9.87068476E-02-2.55064827E-02
 3  2-9.19862919E-03-1.42768399E-03-4.91266902E-04-1.79425990E+00 6.31764209E-01
 4  1 2.09772529E+00-2.12929177E+00 4.41201935E-01 1.43752015E-01 6.47960619E-02
 4  2 1.51003997E-02 3.47529223E-03 8.58435313E-04-1.05473457E+00 3.16411049E-01
 5  1 9.53678062E-01-1.84914645E+00 2.45489495E+00-1.15322084E+00-5.67762620E-02
 5  2-6.71576932E-02-3.65271612E-03-3.20252859E-03-4.10835766E-01 1.25245600E-01
 6  1 3.32125044E-01-7.02863500E-01 1.40782782E+00-2.28303104E+00 1.64640738E+00
 6  2-5.92948236E-02 5.86466980E-02 1.93157685E-04-1.45050263E-01 4.51060731E-02
 7  1-1.34878302E-01 2.83077939E-01-5.87534750E-01 1.20002049E+00-2.08358863E+00
 7  2 1.83427893E+00-1.67541176E-01 4.89020290E-02 5.95047000E-02-1.86082945E-02
 8  1-5.96065271E-02 1.24381694E-01-2.55624091E-01 5.27908674E-01-1.08613059E+00
 8  2 1.94451476E+00-1.85169607E+00 1.58945451E-01 2.63777924E-02-8.26053270E-03
 9  1 2.72002163E-02-5.66468574E-02 1.15845160E-01-2.36763079E-01 4.87216910E-01
 9  2-9.97885787E-01 1.78386226E+00-1.67107430E+00-1.20473332E-02 3.77413825E-03
10  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
10  2 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
