 1  1-9.98717639E-01-7.61227346E-03 8.20739021E-04 3.81966807E-03-1.22537529E-03
 1  2-4.30989903E-03 1.04399242E-04 1.77815440E-03
 2  1 1.46220204E-01-7.12246378E-02-1.78599808E-01-5.42231021E-02-9.99424562E-02
 2  2-3.25754045E-01-5.28431100E-01 6.23749641E-03
 3  1-1.07493512E-01 2.52443291E-01 8.59539847E-01-5.71502942E-02-2.34675103E-01
 3  2-1.08563664E-01-4.69288218E-01 1.37330853E-03
 4  1-2.92694987E-02 1.24370072E+00-1.70309187E+00-1.66671691E-02-8.49330032E-01
 4  2 8.46366807E-02 7.42924323E-01-3.24732741E-03
 5  1 9.52108905E-02 1.78778575E+00-3.34121763E-01 5.50419260E-02 1.51492776E+00
 5  2-5.01969303E-02-1.94675806E+00-5.08716769E-04
 6  1-8.14322433E-02 6.51671287E-02-4.37265295E-01-5.27043501E-01 2.39914115E-01
 6  2-1.09912907E+00 1.19986318E+00 4.97164080E-02
 7  1 8.09493442E-02 2.87469424E-01 3.36774650E-01-1.06897559E+00 1.06110195E+00
 7  2 7.81585584E-01-1.34266604E+00 8.40082010E-02
 8  1 4.38122603E-02 4.08800375E-01-9.86195555E-02 3.66227347E-01 7.94255448E-02
 8  2-2.08985089E-03-3.65991547E-01 1.04719625E+00
