 1  1 1.66485070E-01-3.78403905E-02-7.77075245E-01-1.03245483E-01-1.56284479E-01
 1  2-2.18520477E-01-8.25423778E-02 1.56049153E-02
 2  1-7.57226309E-02 2.14285494E-01 1.64404073E-01-7.21634855E-02-8.88519586E-01
 2  2-1.16098601E-01 1.14850659E-01 8.69228263E-03
 3  1-2.87709228E-02 1.45587922E+00-1.80453578E+00 3.96442622E-02-4.15487942E-01
 3  2 9.23562368E-02 6.35061185E-01-1.17669143E-02
 4  1-7.80258752E-02-1.59025714E+00 1.68274704E-02 2.83969137E-01-1.60887783E+00
 4  2 3.13178331E-01 1.90759601E+00-4.08317389E-02
 5  1-2.91382501E-02-2.51922459E-01 4.50744191E-02-1.15153056E+00 5.01487042E-01
 5  2 6.89175227E-03 3.54034329E-01-7.25016863E-03
 6  1 1.15721999E-01 3.46966487E-01 4.54421194E-01-3.02016697E-01 6.32895660E-01
 6  2 1.31790938E+00-1.91508483E+00-1.42675439E-01
 7  1-5.79044383E-02-4.31358532E-01 3.42390516E-02-2.20920335E-01-2.10182992E-01
 7  2-2.04394072E-01 6.02103404E-01-1.04099331E+00
 8  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
 8  2 0.00000000E+00 0.00000000E+00 0.00000000E+00
