 1  1 1.01755848E-02-2.30430126E-02 1.88180580E-01 5.68980965E-01 3.11853767E-01
 1  2 8.68976835E-02 1.73354515E-02 4.84174977E-03-4.34856597E-03 1.35103108E-03
 2  1-5.61178557E-01-9.14149351E-01 2.37178507E-01 1.38703191E-01 6.12815064E-02
 2  2 1.53095275E-02 3.12639054E-03 8.37216309E-04 1.12016778E+00-2.95750035E-01
 3  1 2.24647030E-01 1.60622409E-02-3.77225236E-03-4.29509344E-03-1.36781542E-03
 3  2-4.10853424E-04-6.97170024E-05-2.17540812E-05-1.12083014E+00 1.53577076E+00
 4  1-2.44261254E+00 1.87495344E+00-3.65143814E-01-1.00648722E-01-6.00407419E-02
 4  2-1.23523621E-02-3.02281689E-03-6.97682769E-04 1.93156025E+00-5.93047179E-01
 5  1-8.67835492E-01 3.82908927E-01-2.90665668E-02 3.09214792E-02 8.51462388E-03
 5  2 3.13208769E-03 4.55901774E-04 1.63629734E-04-4.39105339E-01 4.61917957E-02
 6  1-9.69202860E-01 1.86664655E+00-2.44873819E+00 1.13331335E+00 6.59816588E-02
 6  2 7.03321901E-02 3.72155554E-03 3.30823702E-03 4.26879354E-01-1.33266312E-01
 7  1-3.32863885E-01 7.02892818E-01-1.42539981E+00 2.29383598E+00-1.64336135E+00
 7  2 5.87929028E-02-5.88965790E-02-1.41643631E-04 1.46321812E-01-4.57407884E-02
 8  1 1.34158977E-01-2.81293196E-01 5.84197833E-01-1.20006527E+00 2.08611532E+00
 8  2-1.83549186E+00 1.68903275E-01-4.90810296E-02-5.92842940E-02 1.85611381E-02
 9  1 5.94319141E-02-1.23985331E-01 2.54865915E-01-5.26592795E-01 1.08447982E+00
 9  2-1.94354643E+00 1.85200342E+00-1.59317847E-01-2.63104790E-02 8.24170734E-03
10  1 2.71719660E-02-5.65845090E-02 1.15721888E-01-2.36540427E-01 4.86830700E-01
10  2-9.97322849E-01 1.78340516E+00-1.67103334E+00-1.20359142E-02 3.77080593E-03
