 1  1 1.86937442E-01 8.62857053E-02-3.81566318E-02-4.56197884E-02-1.76763429E-02
 1  2-4.86584684E-03-9.05935421E-04-2.61994906E-04 2.06742035E-01 7.12955333E-01
 2  1 7.98426604E-02-1.67090878E-01 5.81390667E-02 4.39165253E-02 1.95638033E-02
 2  2 4.90266274E-03 9.98944325E-04 2.67860806E-04-1.40856449E+00 1.33888194E+00
 3  1-1.59558221E+00-3.45107639E-02 3.20468818E-02 1.11230390E-01 3.46119378E-02
 3  2 1.09785962E-02 1.77816705E-03 5.78523843E-04 1.80953909E+00-6.31076118E-01
 4  1 2.10770137E+00-2.06177055E+00 3.60319422E-01 1.61284163E-01 7.99880243E-02
 4  2 1.78282944E-02 4.01990564E-03 9.88226636E-04-1.06396499E+00 3.18525611E-01
 5  1 9.93318525E-01-1.91205857E+00 2.43671673E+00-1.08962477E+00-9.06122576E-02
 5  2-6.80165728E-02-4.68639809E-03-3.24345096E-03-4.27258127E-01 1.30150859E-01
 6  1 3.43916450E-01-7.28530290E-01 1.46162433E+00-2.30656897E+00 1.63233143E+00
 6  2-5.12953821E-02 5.76909503E-02 3.68286301E-04-1.50110858E-01 4.66774764E-02
 7  1-1.35781576E-01 2.85025190E-01-5.91304931E-01 1.21023661E+00-2.09223738E+00
 7  2 1.83354497E+00-1.67007040E-01 4.88163954E-02 5.99005150E-02-1.87327731E-02
 8  1 5.96562707E-02-1.24490440E-01 2.55871189E-01-5.28352558E-01 1.08698085E+00
 8  2-1.94535026E+00 1.85174548E+00-1.58945644E-01-2.63996113E-02 8.26744987E-03
 9  1-2.72021431E-02 5.66513707E-02-1.15855516E-01 2.36786294E-01-4.87247565E-01
 9  2 9.97916709E-01-1.78388809E+00 1.67107656E+00 1.20481685E-02-3.77440947E-03
10  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
10  2 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
