 1  1-1.59627635E-01 1.14246211E-01 5.34371188E-03 6.99252289E-03-8.21628190E-04
 1  2 9.18729835E-04 3.57442024E-01-1.24912278E+00
 2  1-2.08138457E+00 6.13553517E-01-2.19781848E-01 5.23749129E-02-1.46394993E-02
 2  2 1.69336211E-03 4.21417009E+00-2.49286852E+00
 3  1 6.12127413E+00-3.13395445E+00 9.29012488E-01-2.89293765E-01 7.31277085E-02
 3  2-1.45725026E-02-4.79683024E+00 1.50036162E+00
 4  1 6.02210373E+00-6.99423724E+00 3.69765607E+00-1.12976645E+00 3.07166900E-01
 4  2-4.88908944E-02-3.06209141E+00 8.71659411E-01
 5  1-3.82711014E+00 6.28691525E+00-6.96679287E+00 3.54490574E+00-9.85590951E-01
 5  2 1.90822876E-01 1.79751195E+00-5.04276276E-01
 6  1 2.30551398E+00-4.06661326E+00 6.09324042E+00-6.22201247E+00 2.56677076E+00
 6  2-3.78864085E-01-1.07074795E+00 2.99979893E-01
 7  1-1.45236321E+00 2.59430976E+00-4.21229550E+00 5.86043594E+00-5.24458110E+00
 7  2 1.47163392E+00 6.73976043E-01-1.88895461E-01
 8  1 8.82736675E-01-1.56141928E+00 2.52395974E+00-3.73587502E+00 4.48432835E+00
 8  2-2.97164461E+00-4.11916242E-01 1.15739260E-01
