 1  1 6.17384886E-03-2.07188510E-02 1.90642226E-01 5.68510462E-01 3.10005234E-01
 1  2 8.65964994E-02 1.72689969E-02 4.82767041E-03
 2  1-1.07982598E+00 9.72861862E-02 2.35096156E-02 8.95592264E-02 2.80897660E-02
 2  2 9.00338011E-03 1.46493271E-03 4.76276314E-04
 3  1 1.16381989E+00-1.92760863E+00 4.99698728E-01 1.04064212E-01 7.90797731E-02
 3  2 1.45811557E-02 3.99530084E-03 8.45192541E-04
 4  1-5.07356656E-01 1.57169749E+00-2.36273400E+00 1.13464967E+00 6.51415456E-02
 4  2 7.12369479E-02 3.71542933E-03 3.35295300E-03
 5  1-1.86771100E-01 6.09107324E-01-1.37422687E+00 2.27372195E+00-1.64166985E+00
 5  2 5.91141946E-02-5.89904058E-02-1.35090721E-04
 6  1 7.62689393E-02-2.45604666E-01 5.64893102E-01-1.18990090E+00 2.08163395E+00
 6  2-1.83480460E+00 1.68955564E-01-4.90915945E-02
 7  1-3.38819285E-02 1.08447224E-01-2.46669974E-01 5.22367202E-01-1.08228764E+00
 7  2 1.94256139E+00-1.85181374E+00 1.59320902E-01
 8  1-1.55009485E-02 4.95142135E-02-1.12026665E-01 2.34673984E-01-4.85884398E-01
 8  2 9.96841610E-01-1.78319310E+00 1.67099066E+00
