 1  1 1.21570978E+00-3.30095254E-01 2.14742700E-02-7.04476431E-02-1.29149773E-02
 1  2-6.26432546E-03-7.56073849E-04-3.25004286E-04
 2  1 1.03481824E+00-1.95795082E+00 5.85850037E-01 8.24038213E-02 6.99176606E-02
 2  2 1.19090185E-02 3.72113717E-03 7.26856112E-04
 3  1-4.80355102E-01 1.50600684E+00-2.36246044E+00 1.17481860E+00 4.48004382E-02
 3  2 6.96234754E-02 3.17847074E-03 3.29824084E-03
 4  1 1.82370925E-01-5.96413735E-01 1.33990237E+00-2.25625221E+00 1.64759278E+00
 4  2-6.15686737E-02 5.90985277E-02 1.26449061E-04
 5  1-7.62198420E-02 2.45693210E-01-5.65602587E-01 1.18675871E+00-2.07736231E+00
 5  2 1.83401046E+00-1.68026018E-01 4.89747863E-02
 6  1-3.39269800E-02 1.08619169E-01-2.47083104E-01 5.23189715E-01-1.08331715E+00
 6  2 1.94310336E+00-1.85156119E+00 1.59031317E-01
 7  1 1.55104152E-02-4.95475183E-02 1.12106101E-01-2.34830517E-01 4.86170202E-01
 7  2-9.97268523E-01 1.78354165E+00-1.67102187E+00
 8  1 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
 8  2 0.00000000E+00 0.00000000E+00 0.00000000E+00
